InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
616588,SKU_1813,USB Cable,20,2020/1/5 16:00,84.61,19020,Norway,0.26,Bank Transfer,11.7,Stationery,In-store,Not Returned,FedEx,Paris,High
336584,SKU_1053,Notebook,26,2020/1/5 17:00,7.36,90743,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low
662332,SKU_1670,Wireless Mouse,41,2020/1/5 18:00,22.68,64659,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium
937646,SKU_1466,Wireless Mouse,7,2020/1/5 19:00,10.74,90633,United Kingdom,0.44,Bank Transfer,17.3,Accessories,In-store,Not Returned,DHL,Rome,Low
476896,SKU_1108,Blue Pen,24,2020/1/5 20:00,76.55,54727,United States,0,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium
148984,SKU_1279,White Mug,9,2020/1/5 21:00,71.63,10961,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High
402918,SKU_1664,Blue Pen,43,2020/1/5 22:00,30.59,66873,Belgium,0.2,paypall,10.32,Stationery,Online,Returned,UPS,London,High
364712,SKU_1674,Office Chair,7,2020/1/5 23:00,78.42,25714,Norway,0.05,Bank Transfer,26.71,Stationery,Online,Not Returned,DHL,Rome,Low
220151,SKU_1056,Wireless Mouse,37,2020/1/6 00:00,91,33058,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High
555808,SKU_1839,Notebook,4,2020/1/6 01:00,19.27,83367,France,0.07,Credit Card,25.98,Accessories,Online,Not Returned,DHL,Amsterdam,Low
233767,SKU_1836,Wall Clock,11,2020/1/6 02:00,37.38,15608,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
748663,SKU_1213,Headphones,4,2020/1/6 03:00,53.39,49169,Netherlands,0.5,Bank Transfer,8.56,Furniture,Online,Not Returned,FedEx,Berlin,Medium
803550,SKU_1507,White Mug,28,2020/1/6 04:00,31.18,70906,Spain,0.38,Bank Transfer,6.1,Stationery,In-store,Not Returned,Royal Mail,Berlin,High
236330,SKU_1027,Backpack,49,2020/1/6 05:00,66.8,39946,Netherlands,0.36,Bank Transfer,11.84,Stationery,Online,Not Returned,FedEx,Rome,High
580754,SKU_1203,Wall Clock,27,2020/1/6 06:00,83.54,67934,Netherlands,0.33,Credit Card,9.51,Stationery,In-store,Not Returned,DHL,London,Medium
401648,SKU_1544,Headphones,17,2020/1/6 07:00,73.34,30303,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium
788519,SKU_1308,Notebook,40,2020/1/6 08:00,94.43,62272,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low
113986,SKU_1633,T-shirt,6,2020/1/6 09:00,39.39,43069,United Kingdom,0.29,Bank Transfer,9.85,Electronics,In-store,Not Returned,DHL,Rome,Medium
686146,SKU_1527,USB Cable,17,2020/1/6 10:00,19.05,25812,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low
229312,SKU_1665,Headphones,43,2020/1/6 11:00,87.12,78376,Germany,0.45,Bank Transfer,18.17,Electronics,In-store,Not Returned,UPS,London,Low
112666,SKU_1907,T-shirt,12,2020/1/6 12:00,98.82,63965,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High
400804,SKU_1342,Desk Lamp,40,2020/1/6 13:00,45.27,58575,France,0.08,paypall,21.25,Apparel,In-store,Not Returned,UPS,Berlin,Low
234633,SKU_1217,White Mug,1,2020/1/6 14:00,19.89,55924,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High
388998,SKU_1616,Desk Lamp,29,2020/1/6 15:00,29.51,52354,Australia,0.43,paypall,19.15,Accessories,In-store,Not Returned,UPS,Berlin,Medium
950937,SKU_1588,Wall Clock,26,2020/1/6 16:00,44.69,78432,France,0.46,Bank Transfer,21.57,Electronics,In-store,Not Returned,Royal Mail,London,Low
728776,SKU_1086,Wall Clock,8,2020/1/6 17:00,14.92,75894,France,0.16,Bank Transfer,14.11,Accessories,Online,Not Returned,DHL,Rome,Medium
807611,SKU_1030,T-shirt,30,2020/1/6 18:00,39.72,18762,Portugal,0.08,paypall,14.4,Stationery,Online,Not Returned,FedEx,Paris,High
384806,SKU_1099,Notebook,30,2020/1/6 19:00,69.96,15347,France,0.27,paypall,18.7,Stationery,Online,Not Returned,DHL,Amsterdam,High
894824,SKU_1666,Office Chair,4,2020/1/6 20:00,52.48,60989,Spain,0.37,paypall,29.12,Apparel,In-store,Not Returned,DHL,London,High
130535,SKU_1803,White Mug,24,2020/1/6 21:00,78.64,53955,Australia,0.06,paypall,8.97,Stationery,In-store,Not Returned,UPS,Rome,High
475713,SKU_1314,Wall Clock,26,2020/1/6 22:00,11.49,83421,France,0.21,Credit Card,18.94,Apparel,Online,Not Returned,DHL,Paris,Medium
938688,SKU_1494,Desk Lamp,8,2020/1/6 23:00,84.06,62215,Sweden,0.25,Credit Card,13.35,Stationery,Online,Not Returned,UPS,Paris,Medium
451279,SKU_1617,Wall Clock,-2,2020/1/7 00:00,34.06,,Spain,0.34,Credit Card,,Furniture,Online,Not Returned,DHL,,Medium
921654,SKU_1470,Blue Pen,18,2020/1/7 01:00,36,24841,Netherlands,0.16,Credit Card,17.99,Accessories,In-store,Not Returned,FedEx,Rome,High
701661,SKU_1741,Desk Lamp,34,2020/1/7 02:00,59.68,25661,Norway,0.34,Credit Card,15.93,Stationery,Online,Not Returned,DHL,London,Medium
747972,SKU_1514,Desk Lamp,-26,2020/1/7 03:00,-72.33,,Netherlands,1.972086538,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Low
589570,SKU_1733,Wall Clock,40,2020/1/7 04:00,16.31,72722,Italy,0.3,Credit Card,6.51,Apparel,Online,Not Returned,DHL,Paris,Medium
556551,SKU_1632,USB Cable,9,2020/1/7 05:00,3,37447,Spain,0.41,Credit Card,5.01,Accessories,In-store,Not Returned,DHL,Berlin,Medium
373109,SKU_1671,White Mug,20,2020/1/7 06:00,28.4,44898,Netherlands,0.49,Credit Card,28.77,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
124538,SKU_1782,T-shirt,40,2020/1/7 07:00,33.55,48163,Australia,0.28,Bank Transfer,10.63,Furniture,In-store,Not Returned,UPS,Rome,Low
994498,SKU_1997,Headphones,47,2020/1/7 08:00,16.09,25641,Italy,0.42,Credit Card,6.17,Electronics,In-store,Returned,Royal Mail,Berlin,Low
301664,SKU_1330,White Mug,46,2020/1/7 09:00,76.94,96058,United Kingdom,0.04,Credit Card,25.4,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
591234,SKU_1193,Wall Clock,2,2020/1/7 10:00,65.92,73431,Sweden,0.46,Credit Card,13.12,Furniture,Online,Not Returned,UPS,Berlin,High
999684,SKU_1729,Blue Pen,43,2020/1/7 11:00,21.13,10263,Sweden,0.07,Bank Transfer,12.09,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
239182,SKU_1190,T-shirt,39,2020/1/7 12:00,16.36,97116,Italy,0.02,paypall,24.95,Furniture,In-store,Not Returned,Royal Mail,Paris,Medium
572525,SKU_1251,Wall Clock,21,2020/1/7 13:00,49.16,40318,Portugal,0.36,Credit Card,25.76,Furniture,In-store,Not Returned,DHL,Amsterdam,Low
258338,SKU_1737,Blue Pen,14,2020/1/7 14:00,85.66,99357,United Kingdom,0.02,Bank Transfer,7.49,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
284064,SKU_1000,Blue Pen,30,2020/1/7 15:00,38.2,35788,France,0.42,Bank Transfer,19.99,Stationery,In-store,Not Returned,UPS,Berlin,Low
314020,SKU_1458,White Mug,42,2020/1/7 16:00,63.34,27891,United States,0.42,paypall,10.89,Accessories,Online,Not Returned,DHL,London,Medium
723094,SKU_1644,Blue Pen,46,2020/1/7 17:00,23.1,11617,United States,0,paypall,27.63,Furniture,In-store,Not Returned,Royal Mail,Rome,Low
997421,SKU_1089,Notebook,17,2020/1/7 18:00,90.61,53537,Italy,0.18,paypall,14.91,Furniture,Online,Not Returned,Royal Mail,Paris,High
715270,SKU_1517,T-shirt,33,2020/1/7 19:00,81.72,99835,Portugal,0.29,Bank Transfer,15.35,Stationery,In-store,Not Returned,UPS,Paris,Medium
745914,SKU_1482,White Mug,11,2020/1/7 20:00,83.38,60352,Spain,0.35,Credit Card,21.57,Electronics,Online,Returned,DHL,Berlin,Medium
219176,SKU_1755,White Mug,42,2020/1/7 21:00,2.07,72043,United Kingdom,0.14,Credit Card,8.46,Electronics,Online,Not Returned,FedEx,Rome,Medium
318126,SKU_1644,Headphones,48,2020/1/7 22:00,49.42,75448,France,0.15,Bank Transfer,14.8,Electronics,In-store,Not Returned,FedEx,Berlin,High
318969,SKU_1115,Desk Lamp,-19,2020/1/7 23:00,-3.61,,Italy,1.052254326,Credit Card,,Apparel,In-store,Not Returned,UPS,,High
222409,SKU_1072,Headphones,8,2020/1/8 00:00,84.97,94303,Netherlands,0.42,Credit Card,5.05,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Medium
